"NAME","Compañía telefónica","Tecnología","null","Memoria Interna","A prueba de agua","Clasificación Procesador","Cámara frontal","Cámara trasera","Procesador","Tipo de monitor","Resistencia máxima sumergible","Pantalla Touch","Cámaras Integradas","Internet / Multimedia","Garantía del fabricante - Partes","Garantía del fabricante - Mano de Obra","Modelo","Color de Producto","Gama de color","Nombre del Producto","Marca","EAN/UPC","Wireless Charging","Tipo de pantalla","Interfaz","Carga inalámbrica","Modelo de celular","Tarjeta de expansión","Phone Memory (RAM)","Ranura de la tarjeta multimedia","Alto Producto","Ancho Producto","Profundidad Producto","Peso Producto","A prueba de golpes","Salida de auriculares","Tipo de Batería","Usage Time(s)","Sincronización"
"ZTE - LTE 2050 Blade V Smart - Rojo (Telcel)","TELCEL","3G, 4G, GSM, LTE","Sí","128 GB","No","MediaTek","13 megapixels","16 megapixels","MediaTek MT6771","","","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","ZTE BLADE V SMART","Rojo","Rojo","ZTE - LTE 2050 Blade V Smart - Rojo (Telcel)","ZTE","7506227335770","","TFT-LCD","","","","Nano SIM","4 GB","microSD","16.2 cm","7.6 cm","0.8 cm","0.190 kg","","Sí","","",""
"Samsung - Galaxy A51 - Negro (AT&T)","AT&T","4G LTE","Sí","128 GB","No","Samsung","32 megapixels","","Exynos 9611","Acelerómetro, Barómetro, Sensor de Proximidad, Sensor de huellas dactilares","","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","Samsung Galaxy A51","Negro","Negro","Samsung - Galaxy A51 - Negro (AT&T)","Samsung","7501882628489","","","","","Samsung Galaxy A51","","6 GB","","","","","","","","iones de Litio","",""
"Samsung - Celular Note 20 Mystic 4G - Gris - ATT","AT&T","4G, GSM","Sí","256 GB","Sí","Samsung","","","Exynos 990","Acelerómetro, Barómetro, RGB light sensor, Sensor Giroscópico, Sensor de Proximidad","4.9 feet","Sí","Sí. Frontal y trasera","Bluetooth, Wifi, Wireless A, Wireless AC, Wireless AX, Wireless B, Wireless G, Wireless N Dual Band","1 año","1 año","","","Gris","Samsung - Celular Note 20 Mystic 4G - Gris - ATT","Samsung","7501882632363","","","USB Type C","Qi","Samsung Galaxy Note20 5G","","8 GB","","","","","","","","iones de Litio","Todo el día","Bixby, SmartThings"
"Apple - iPhone XS Max - 256 GB - Gris Espacial (Telcel)","TELCEL","4G LTE","Sí","256 GB","Sí","Apple","7 megapixels","12 megapixels","A12 Chip bionico con motor neuronal de próxima generación","Acelerómetro, Sensor Giroscópico, Sensor de Luz Ambiental, Sensor de Proximidad","5 feet","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","Apple iPhone XS Max","Gris Espacial","Gris","Apple - iPhone XS Max - 256 GB - Gris Espacial (Telcel)","Apple","7506227332038","","Super Retina HD display","Lightning","","Apple iPhone XS Max","Nano SIM","","","","","","","","Sí","iones de Litio","",""
"Honor - Honor 8A 2020 - Verde (AT&T)","AT&T","4G LTE","Sí","32 GB","No","MediaTek","8 megapixels","13 megapixels","Helio P35","Acelerómetro, Barómetro, Brújula, Sensor Giroscópico, Sensor de Proximidad","","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","Huawei Honor 8A","Verde","Verde","Honor - Honor 8A 2020 - Verde (AT&T)","Honor","7501882630987","","","","","","","2 GB","","","","","","","","iones de Litio","",""
"Honor - Honor 9X - Azul (AT&T)","AT&T","4G LTE","Sí","128 GB","No","ARM","16 megapixels","","","","","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","STK-LX3","","Azul","Honor - Honor 9X - Azul (AT&T)","Honor","7501882627581","","TFT-LCD","","","","","6 GB","","","","","","","","","",""
"Motorola - Moto E6 Plus - Gris (AT&T)","AT&T","4G LTE","Sí","32 GB","No","Motorola","8 megapixels","13 megapixels","","Acelerómetro","","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","XT2025-1","Gris","Gris","Motorola - Moto E6 Plus - Gris (AT&T)","Motorola","7501882625280","No","","USB","","","","","","","","","0.149 kg","No","","iones de Litio","24","SmartThings"
"Samsung - Galaxy A10 - Azul (Desbloqueado)","Desbloqueado","4G LTE","No","32 GB","No","Samsung","5 megapixels","13 megapixels","","Acelerómetro, Sensor de Luz Ambiental, Sensor de Proximidad","","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","Galaxy A10","Azul","Azul","Samsung - Galaxy A10 - Azul (Desbloqueado)","Samsung","7502285312227","","TFT-LCD","","","","Nano SIM","2 GB","microSD","","","","","","","iones de Litio","",""
"Motorola - Moto G7 Power - Azul Marino (Telcel)","TELCEL","4G LTE","No","64 GB","No","","8 megapixels","12 megapixels","632","Acelerómetro, Barómetro, Sensor de Gestos, Sensor de Luz Ambiental, Sensor de Proximidad","","Sí","Sí. Frontal y trasera","Wifi","1 Año","1 Año","Moto G7 Power","Azul Marino","Azul","Motorola - Moto G7 Power - Azul Marino (Telcel)","Motorola","7506227332687","","IPS-LCD","","","","","4 GB","microSD","","","","","","","iones de Litio","",""
"Motorola - Moto E6 Plus - Azul (Desbloqueado)","Desbloqueado","4G LTE","Sí","32 GB","No","Motorola","8 megapixels","13 megapixels","","Acelerómetro","","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","XT2025-1","Azul","Azul","Motorola - Moto E6 Plus - Azul (Desbloqueado)","Motorola","723755138360","No","","USB","","","","","","","","","0.149 kg","No","","iones de Litio","24","SmartThings"
