NAME,Compañía telefónica,Tecnología,Memoria Interna,A prueba de agua,Cámara frontal,Cámara trasera,Procesador,Resistencia máxima sumergible,Gama de color,Marca
Honor - Honor 9A - Azul (Desbloqueado),Desbloqueado,4G LTE,64 GB,No,8 megapixels,13 megapixels,,,Azul,Honor
Samsung - Galaxy S20 Plus - Plata,,4G,128 GB,Sí,10 megapixels,,Exynos 990,5 feet,Gris,Samsung
Samsung - Galaxy Note 20 Ultra 4G - Negro,Movistar,"4G, GSM",256 GB,Sí,,,Exynos 990,4.92 feet,Negro,Samsung
Xiaomi - Celular Redmi Note 9S - 64 GB - Gris Interestelar (Desbloqueado),Desbloqueado,"3G, 4G, GSM, LTE",64 GB,No,16 megapixels,48 megapixels,,,Gris,Xiaomi
Samsung - Galaxy A20s - Rojo,Movistar,4G LTE,32 GB,No,8 megapixels,13 megapixels,Snapdragon 450 (MSM8953),,Rojo,Samsung
Apple - iPhone 8 256 GB Reacondicionado - Rojo (Desbloqueado),Desbloqueado,4G,256 GB,Sí,12 megapixels,7 megapixels,Chip A11 Bionic con arquitectura de 64 bits,5 feet,Rojo,Apple
Apple - iPhone XS - 64 GB Reacondicionado - Gris (Desbloqueado),Desbloqueado,4G LTE,64 GB,Sí,7 megapixels,12 megapixels,A12 Chip bionico con motor neuronal de próxima generación,5 feet,Gris,Apple
Honor - Honor 8A PRO - Verde (AT&T),AT&T,4G LTE,32 GB,No,8 megapixels,13 megapixels,MT6765,,Verde,Honor
Huawei - P30 - Negro (Desbloqueado)  - Dual SIM,Desbloqueado,4G LTE,128 GB,No,32 megapixels,40 megapixels,Kirin 980,,Negro,Huawei
Apple - iPhone XS - 512 GB Reacondicionado - Dorado (Desbloqueado),Desbloqueado,4G LTE,512 GB,Sí,7 megapixels,12 megapixels,A12 Chip bionico con motor neuronal de próxima generación,5 feet,Dorado,Apple
Motorola - Moto One Fusion 128 GB - Azul (Desbloqueado) - Best Buy,Desbloqueado,4G LTE,128 GB,No,16 megapixels,48 megapixels,710,,Azul,Motorola
Huawei - Y7P - Azul (Desbloqueado),Desbloqueado,4G LTE,64 GB,No,48 megapixels,,,,Azul,Huawei
Samsung - Galaxy A71 - Plata,,4G LTE,128 GB,No,32 megapixels,,Octa - Core,,Plata,Samsung
Motorola - Moto E6 Plus - Rojo (Desbloqueado),Desbloqueado,4G LTE,32 GB,No,8 megapixels,13 megapixels,,,Rojo,Motorola
Honor - Honor 9X Lite - Verde (Desbloqueado),Desbloqueado,4G LTE,128 GB,No,8 megapixels,48 megapixels,,,Verde,Honor
Xiaomi - Celular Redmi Note 9 - 64 GB - Verde Bosque (Desbloqueado),Desbloqueado,"3G, 4G, GSM",64 GB,No,13 megapixels,48 megapixels,,,Verde,Xiaomi
Samsung - Galaxy A11 - Blanco,Movistar,"2G, 3G, LTE",48 GB,No,8 megapixels,13 megapixels,"SDM450, Octa-core (8 núcleos a 1.8 GHz)",,Blanco,Samsung
ZTE - Blade A5 2020 - Verde (Telcel),TELCEL,"3G, 4G",16 GB,No,8 megapixels,13 megapixels,A55,,Verde,ZTE
Huawei - P30 - Azul Claro (AT&T),AT&T,4G LTE,128 GB,No,32 megapixels,40 megapixels,Kirin 980,,Azul,Huawei
Motorola - Moto One Zoom - Gris (Telcel),TELCEL,4G LTE,128 GB,No,25 megapixels,48 megapixels,675,,Gris,Motorola
Huawei - Celular Y7p - Negro medianoche (Telcel),TELCEL,"3G, 4G, GSM",64 GB,No,8 megapixels,48 megapixels,,,Negro,Huawei
Samsung - Galaxy A71 - Plata (AT&T),AT&T,4G LTE,128 GB,No,32 megapixels,,Octa - Core,,Plata,Samsung
Samsung - Celular Note 20 Ultra 4G - Bronce - Telcel,TELCEL,"4G, GSM",256 GB,Sí,,,Exynos 990,4.92 feet,Bronce,Samsung
Samsung - Galaxy A30s Negro (Telcel),TELCEL,4G LTE,32 GB,No,16 megapixels,5 megapixels,Exynos 7904,,Negro,Samsung
Samsung -   Galaxy A6 Plus -  Negro (Telcel),TELCEL,4G,32 GB,No,24 megapixels,16 megapixels,450,,Negro,Samsung
Motorola - Moto E6 Play - Azul (AT&T),AT&T,4G LTE,16 GB,No,5 megapixels,13 megapixels,,,Azul,Motorola
Samsung - Galaxy A71 - Negro (AT&T),AT&T,4G LTE,128 GB,No,32 megapixels,,Octa - Core,,Negro,Samsung
Xiaomi - Redmi Note 9S - Azul (AT&T),,"3G, 4G, GSM, LTE",128 GB,No,16 megapixels,48 megapixels,,,Gris,Xiaomi
Huawei - Y9S - Negro (AT&T),AT&T,4G LTE,128 GB,No,16 megapixels,48 megapixels,Huawei Kirin 710F,,Negro,Huawei
Motorola - Moto G8 Play - Gris (AT&T),AT&T,4G LTE,32 GB,No,13 megapixels,8 megapixels,Helio P70,,Gris,Motorola
Samsung - Galaxy J4 Plus - Negro (AT&T),AT&T,4G LTE,32 GB,No,5 megapixels,13 megapixels,425,,Negro,Samsung
Apple - iPhone XS Max 64 GB - Gris Espacial (AT&T),AT&T,4G LTE,64 GB,Sí,7 megapixels,12 megapixels,A12 Chip bionico con motor neuronal de próxima generación,5 feet,Gris,Apple
Apple - iPhone 8 64 GB - Rojo (AT&T),AT&T,4G,64 GB,Sí,12 megapixels,7 megapixels,Chip A11 Bionic con arquitectura de 64 bits,0 feet,Rojo,Apple
Huawei - Y6S - Negro (Telcel),TELCEL,4G LTE,64 GB,No,8 megapixels,13 megapixels,MT6765,,Negro,Huawei
Apple - iPhone XS Max 64 GB - Dorado (AT&T),AT&T,4G LTE,64 GB,Sí,7 megapixels,12 megapixels,A12 Chip bionico con motor neuronal de próxima generación,5 feet,Dorado,Apple
Samsung - Galaxy A21s - Rojo (AT&T),AT&T,4G LTE,64 GB,No,13 megapixels,48 megapixels,"S5E3830 (Exynos 850), Octa-core",,Rojo,Samsung
Huawei - Y9S - Azul (Telcel),TELCEL,4G LTE,128 GB,No,16 megapixels,48 megapixels,Huawei Kirin 710F,,Azul,Huawei
Samsung - Galaxy A7 - Negro (Telcel),TELCEL,4G LTE,64 GB,No,24 megapixels,,Exynos 7885,,Negro,Samsung
